headlines,text,date,author,read_more
644 militants surrender in Assam along with 177 arms: Police,"A total of 644 militants of eight banned insurgent outfits surrendered in Assam on Thursday along with 177 arms, police said. The members of the insurgent groups ULFA (Independent), NDFB, RNLF, KLO, CPI (Maoist), NSLA, ADF and NLFB surrendered in presence of Assam CM Sarbananda Sonowal. We hope all of them create an atmosphere of peace in Assam, Sonowal said.","23 Jan 2020,Thursday",Jigyasu,https://www.deccanherald.com/national/east-and-northeast/644-militants-surrender-with-177-arms-in-assam-797357.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts 
"India can grow at 7-8% for a long time, China cannot: Harvard's Kenneth Rogoff ","Kenneth Rogoff, professor of economics at Harvard University, said India has the potential to grow at 7-8% for a long time but China does not. ""India has a young population, it has a lot of potential in its infrastructure, to catch up. China is at the other end of the curve. It's reaching the end of the line,"" he added.","23 Jan 2020,Thursday",Krishna Veera Vanamali,https://www.bloombergquint.com/davos-world-economic-forum-2020/davos-2020-kenneth-rogoff-says-india-has-potential-to-grow-7-8-sees-chinas-growth-at-3-in-next-decade?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts 
There are a lot of difficulties to enter any market in India: Emirates,"Emirates COO Adel Ahmad Al Redha has said there are a lot of trade rules and difficulties to enter any market in India. ""As far as investment (in Air India) is concerned, there's nothing yet on the table,"" he added. Meanwhile, Chief Commercial Officer Adnan Kazim said ""restricted"" bilateral air services agreement between India and UAE is affecting both nations.","23 Jan 2020,Thursday",Krishna Veera Vanamali,https://www.bloombergquint.com/davos-world-economic-forum-2020/davos-2020-emirates-not-looking-to-participate-in-air-india-sale?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts 
Have reserved it for the best films of my life: SRK on this decade's plans,"During a question-answer session on Twitter, a fan asked Shah Rukh Khan about his plans for this decade. ""I've reserved it for the best movies of my life,"" SRK replied. Another fan wrote to him, ""Sir, lots of rumors about your next project...you please announce yourself."" To this, Shah Rukh replied, ""Main hi announce karunga aur kaun karega mere bhai.""","23 Jan 2020,Thursday",Atul Mishra,https://www.koimoi.com/bollywood-news/shah-rukh-khans-decade-plans-will-not-only-excite-his-fans-but-also-every-cinegoer/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts 
Pak govt suspends release of 'Zindagi Tamasha' fearing religious unrest,"Pakistan government has suspended the release of the film 'Zindagi Tamasha' after Islamist political party Tehreek-e-Labbaik Pakistan (TLP) objected to the portrayal of a man who is ""shunned after a video of him at a wedding goes viral"". TLP claimed that the film ""might lead (people) to deviate from Islam"", with officials warning that it could lead to religious unrest.","23 Jan 2020,Thursday",Atul Mishra,https://www.thequint.com/entertainment/cinema/pakistan-suspends-release-of-zindagi-tamasha-post-religious-outrage?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts 
States' resolutions against CAA a political gesture: Shashi Tharoor,"Congress MP Shashi Tharoor said states' resolutions against the CAA were more of a ""political gesture"" as citizenship is granted by the Centre and states hardly have any role in it. However, he added that ""states can say they won't implement NPR-NRC"" because they have a vital part in it as their officials will be conducting the exercise.","23 Jan 2020,Thursday",Kiran Khatri,https://www.newindianexpress.com/nation/2020/jan/23/resolutions-against-caa-political-gesture-states-hardly-have-any-role-shashi-tharoor-2093450.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts 
Instagram testing payment options for its 'shop' tab in India: Report,"Instagram is planning to test payment options for its 'shop' tab in India so that users can complete transactions on the app itself unlike, being directed to the brand's website, Entrackr reported. Instagram has been testing the tab with brands for six months. Users can go to the 'shop' tab and tap on the post to see the product price. ","23 Jan 2020,Thursday",Anushka Dixit,https://entrackr.com/2020/01/exclusive-instagram-has-been-piloting-a-shop-tab-in-india/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts 
NDA govt eroded democracy: Chidambaram on India's democracy index rank,"Former Home Minister P Chidambaram accused the ruling NDA government of eroding democracy and weakening democratic institutions after India dropped 10 places in the latest Democracy Index released by Economist Intelligence Unit. ""Those who are in power are the real tukde tukde gang,"" Chidambaram added. India ranked 51 out of 167 and was listed among countries where there were ""regressions"".","23 Jan 2020,Thursday",Kiran Khatri,https://www.hindustantimes.com/india-news/on-india-s-democracy-index-rank-chidambaram-s-spin-to-tukde-tukde-gang-barb/story-9E2zQWjd1ZBt2wisZpQEhO.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts 
Netaji Bose opposed Hindu Mahasabha's divisive politics: Mamata,"Paying tributes to Netaji Subhas Chandra Bose on his 123rd birth anniversary, West Bengal CM Mamata Banerjee said that Netaji Bose had opposed the Hindu Mahasabha's ""divisive politics"". She described Hindu Mahasabha as one of BJP's organisation. ""Netaji Bose had fought for a secular India. Now efforts are on to oust those who follow secularism,"" Mamata further said.","23 Jan 2020,Thursday",Shailesh,https://www.deccanherald.com/national/east-and-northeast/netaji-subhas-chandra-bose-opposed-hindu-mahasabhas-divisive-politics-fought-for-secular-india-mamata-banerjee-797376.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts 
"Raj Thackeray unveils new saffron MNS flag, son Amit joins party","Maharashtra Navnirman Sena (MNS) chief Raj Thackeray unveiled the party's new saffron-coloured flag and his son Amit was formally inducted into the party however his exact role wasn't announced. The new MNS flag features the seal of Chhatrapati Shivaji Maharaj with the party's name displayed below it. Reportedly, this has been perceived as MNS' drift towards Hindutva ideology.","23 Jan 2020,Thursday",Shailesh,https://www.hindustantimes.com/mumbai-news/raj-thackeray-unveils-new-saffron-mns-flag-son-amit-joins-party/story-X5cKXRA7dQzEaxN8wqwUxL.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts 
